gene_id,Gene Name,Gene Length
AAC73112.1,thr operon leader peptide,21
AAC73113.1,fused aspartate kinase/homoserine dehydrogenase 1,820
AAC73114.1,homoserine kinase,310
AAC73115.1,threonine synthase,428
AAC73116.1,DUF2502 domain-containing protein YaaX,98
AAC73117.1,peroxide stress resistance protein YaaA,258
AAC73118.1,putative transporter YaaJ,476
AAC73119.1,transaldolase B,317
AAC73120.1,molybdopterin adenylyltransferase,195
AAC73121.1,acetate/succinate:H(+) symporter,188
AAC73122.1,putative enzyme-specific chaperone YaaW,237
AAC73124.1,DUF2541 domain-containing protein YaaI,134
AAC73125.1,chaperone protein DnaK,638
AAC73126.1,chaperone protein DnaJ,376
AAC73127.1,IS186/IS421 transposase,370
AAC73129.1,regulatory protein MokC,69
AAC73130.1,Na(+):H(+) antiporter NhaA,388
AAC73131.1,DNA-binding transcriptional activator NhaR,301
AAC73132.1,IS1 protein InsB,167
AAC73133.1,IS1 protein InsA,91
AAC73134.1,30S ribosomal subunit protein S20,87
AAC73135.1,DUF2575 domain-containing protein YaaY,72
AAC73136.1,bifunctional riboflavin kinase/FMN adenylyltransferase,313
AAC73137.1,isoleucine--tRNA ligase,938
AAC73138.1,lipoprotein signal peptidase,164
AAC73139.1,peptidyl-prolyl cis-trans isomerase FkpB,149
AAC73140.1,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,316
AAC73141.1,ribonucleoside hydrolase RihC,304
AAC73142.1,4-hydroxy-tetrahydrodipicolinate reductase,273
AAC73143.1,carbamoyl phosphate synthetase subunit alpha,382
AAC73144.1,carbamoyl phosphate synthetase subunit beta,1073
AAC73145.2,DNA-binding transcriptional activator CaiF,131
AAC73146.2,putative transferase CaiE,196
AAC73147.2,crotonobetainyl-CoA hydratase,261
AAC73148.2,carnitine--CoA ligase,517
AAC73149.1,gamma-butyrobetainyl-CoA:carnitine CoA transferase,405
AAC73150.1,crotonobetainyl-CoA reductase,380
AAC73151.1,L-carnitine:gamma-butyrobetaine antiporter,504
AAC73152.2,putative electron transfer flavoprotein FixA,256
AAC73153.1,putative electron transfer flavoprotein FixB,313
AAC73154.1,putative oxidoreductase FixC,428
AAC73155.1,putative ferredoxin FixX,95
AAC73156.1,putative transporter YaaU,443
AAC73157.1,regulator of KefC-mediated potassium transport and quinone oxidoreductase,176
AAC73158.1,K(+) : H(+) antiporter KefC,620
AAC73159.1,dihydrofolate reductase,159
AAC73160.1,diadenosine tetraphosphatase,280
AAC73161.1,DUF525 domain-containing protein ApaG,125
AAC73162.1,16S rRNA m(6)2A1518 m(6)2A1519 dimethyltransferase,273
AAC73163.1,4-hydroxythreonine-4-phosphate dehydrogenase,329
AAC73164.1,chaperone SurA,428
AAC73165.1,lipopolysaccharide assembly protein LptD,784
AAC73166.1,co-chaperone protein DjlA,271
AAC73169.1,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,219
AAC73170.1,RNA polymerase-binding ATPase and RNAP recycling factor,968
AAC73171.1,DNA polymerase II,783
AAC73172.1,L-ribulose-5-phosphate 4-epimerase AraD,231
AAC73173.1,L-arabinose isomerase,500
AAC73174.1,ribulokinase,566
AAC73175.1,DNA-binding transcriptional dual regulator AraC,292
AAC73176.1,DedA family protein YabI,254
AAC73177.1,thiamine ABC transporter ATP binding subunit,232
AAC73178.1,thiamine ABC transporter membrane subunit,536
AAC73179.1,thiamine ABC transporter periplasmic binding protein,327
AAC73180.1,DNA-binding transcriptional dual regulator SgrR,551
AAC73182.1,3-isopropylmalate dehydratase subunit LeuD,201
AAC73183.1,3-isopropylmalate dehydratase subunit LeuC,466
AAC73184.2,3-isopropylmalate dehydrogenase,363
AAC73185.1,2-isopropylmalate synthase,523
AAC73186.1,leu operon leader peptide,28
AAC73187.2,DNA-binding transcriptional dual regulator LeuO,314
AAC73188.2,acetolactate synthase/acetohydroxybutanoate synthase  catalytic subunit,574
AAC73189.1,acetolactate synthase/acetohydroxybutanoate synthase  regulatory subunit,163
AAC73191.1,DNA-binding transcriptional dual regulator Cra,334
AAC73192.1,DNA-binding transcriptional repressor MraZ,152
AAC73193.1,16S rRNA m(4)C1402 methyltransferase,313
AAC73194.1,cell division protein FtsL,121
AAC73195.1,peptidoglycan DD-transpeptidase FtsI,588
AAC73196.1,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2 6-diaminopimelate ligase,495
AAC73197.1,D-alanyl-D-alanine-adding enzyme,452
AAC73198.1,phospho-N-acetylmuramoyl-pentapeptide-transferase,360
AAC73199.1,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,438
AAC73200.1,essential cell division protein FtsW,414
AAC73201.1,N-acetylglucosaminyl transferase,355
AAC73202.1,UDP-N-acetylmuramate--L-alanine ligase,491
AAC73203.1,D-alanine--D-alanine ligase B,306
AAC73204.1,cell division protein FtsQ,276
AAC73205.1,cell division protein FtsA,420
AAC73206.1,cell division protein FtsZ,383
AAC73207.1,UDP-3-O-acyl-N-acetylglucosamine deacetylase,305
AAC73208.2,SecA translation regulator,170
AAC73209.1,protein translocation ATPase,901
AAC73210.1,8-oxo-dGTP diphosphatase,129
AAC73212.1,DNA gyrase inhibitor YacG,65
AAC73213.1,cell division factor ZapD,247
AAC73214.1,dephospho-CoA kinase,206
AAC73215.1,GMP reductase,347
AAC73217.1,inner membrane protein HofC,400
AAC73218.1,T2SSE family protein,461
AAC73219.1,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,146
AAC73220.1,quinolinate phosphoribosyltransferase (decarboxylating),297
AAC73221.1,1 6-anhydro-N-acetylmuramoyl-L-alanine amidase,183
AAC73222.1,protein AmpE,284
AAC73223.1,aromatic amino acid:H(+) symporter AroP,457
AAC73224.1,DNA-binding transcriptional dual regulator PdhR,254
AAC73225.1,pyruvate dehydrogenase E1 component,887
AAC73226.1,pyruvate dehydrogenase  E2 subunit,630
AAC73227.1,lipoamide dehydrogenase,474
AAC73228.1,DUF3300 domain-containing protein YacH,617
AAC73229.1,hypothetical protein b0118,865
AAC73230.2,UPF0231 family protein YacL,120
AAC73231.1,S-adenosylmethionine decarboxylase proenzyme,264
AAC73232.1,spermidine synthase,288
AAC73233.2,putative lipoprotein YacC,115
AAC73234.1,multicopper oxidase CueO,516
AAC73235.1,quinoprotein glucose dehydrogenase,796
AAC73236.2,hypoxanthine phosphoribosyltransferase,178
AAC73237.1,carbonic anhydrase 2,220
